code,description
30102057,BIOPSIA DE LINFONODO SUPERFICIAL
30210119,EXERESE DE TUMOR MALIGNO DE PELE
30301017,ABSCESSO DE PALPEBRA - DRENAGEM
30301025,BIOPSIA DE PALPEBRA
30301033,BLEFARORRAFIA
30301041,CALAZIO
30301050,CANTOPLASTIA LATERAL
30301076,COLOBOMA COM PLASTICA COM DIRETRIZ DE UTILZACAO ANS
30301084,CORRECAO CIRURGICA DE ECTROPIO OU ENTROPIO
30301149,FISSURA PALPEBRAL - CORRECAO CIRURGICA
30301157,LAGOFTALMO - CORRECAO CIRURGICA
30301165,PALPEBRA - RECONSTRUCAO PARCIAL (COM OU SEM RESSECCAO DE TUMOR)
30301173,PALPEBRA - RECONSTRUCAO TOTAL (COM OU SEM RESSECCAO DE TUMOR) - POR ESTAGIO
30301181,PTOSE PALPEBRAL - CORRECAO CIRURGICA - UNILATERAL
30301190,RESSECCAO DE TUMORES PALPEBRAIS
30301203,RETRACAO PALPEBRAL
30301211,SIMBLEFARO COM OU SEM ENXERTO - CORRECAO CIRURGICA
30301238,SUTURA DE PALPEBRA
30301246,TARSORRAFIA
30301254,TELECANTO - CORRECAO CIRURGICA - UNILATERAL
30301262,TRIQUIASE COM OU SEM ENXERTO
30302137,TUMOR DE ORBITA - EXERESE
30303010,AUTOTRANSPLANTE CONJUNTIVAL
30303052,PLASTICA DE CONJUNTIVA PARA PTERIGIO TUMORES OU TRAUMAS
30303060,PTERIGIO - EXERESE
30303087,SUTURA DE CONJUNTIVA
30303109,TUMOR DE CONJUNTIVA - EXERESE
30304040,PTK CERATECTOMIA FOTOTERAPEUTICA - MONOCULAR
30304067,SUTURA DE CORNEA (COM OU SEM HERNIA DE IRIS)
30304083,IMPLANTE DE ANEL INTRA ESTROMAL COM DIRETRIZ DE UTILZACAO ANS
30305012,PARACENTESE DA CAMARA ANTERIOR
30305020,RECONSTRUCAO DA CAMARA ANTERIOR
30305039,REMOCAO DE HIFEMA
30305047,RETIRADA DE CORPO ESTRANHO DA CAMARA ANTERIOR
30306019,CAPSULOTOMIA YAG OU CIRURGICA
30306027,FACECTOMIA COM LENTE INTRA-OCULAR COM FACOEMULSIFICACAO
30306035,FACECTOMIA COM LENTE INTRA-OCULAR SEM FACOEMULSIFICACAO
30306043,FACECTOMIA SEM IMPLANTE
30306060,IMPLANTE SECUNDARIO / EXPLANTE / FIXACAO ESCLERAL OU IRIANA
30307031,ENDOLASER/ENDODIATERMIA
30307040,IMPLANTE DE SILICONE INTRAVITREO
30307058,INFUSAO DE PERFLUOCARBONO
30307066,MEMBRANECTOMIA EPI OU SUB-RETINIANA
30307082,RETIRADA DE OLEO DE SILICONE VIA PARS PLANA
30307090,TROCA FLUIDO GASOSA
30307112,VITRECTOMIA ANTERIOR
30307120,VITRECTOMIA VIAS PARS PLANA
30308038,SUTURA DE ESCLERA
30309018,ENUCLEACAO OU EVISCERACAO COM OU SEM IMPLANTE
30309026,INJECAO RETROBULBAR
30310016,BIOPSIA DE IRIS E CORPO CILIAR
30310024,CICLOTERAPIA EM IRIS E CORPO CILIAR
30310032,CIRURGIAS FISTULIZANTES ANTIGLAUCOMATOSAS
30310040,CIRURGIAS FISTULIZANTES ANTIGLAUCOMATOSAS COM IMPLANTES DE DRENAGEM
30310059,DRENAGEM DE DESCOLAMENTO DE COROIDE
30310067,FOTOTRABECULOPLASTIA (LASER)
30310075,GONIOTOMIA OU TRABECULOTOMIA
30310083,IRIDECTOMIA (LASER OU CIRURGICA)
30310105,SINEQUIOTOMIA (CIRURGICA)
30312019,APLICACAO DE PLACA RADIATIVA EPISCLERAL
30312027,BIOPSIA DE RETINA
30312060,PANCRIOTERAPIA PERIFERICA
30312078,REMOCAO DE IMPLANTE EPISCLERAL
30312086,RETINOPEXIA COM INTROFLEXAO ESCLERAL
30312094,RETINOPEXIA PNEUMATICA
30312108,RETINOPEXIA PROFILATICA (CRIOPEXIA)
30313023,DACRIOCISTECTOMIA - UNILATERAL
30313031,DACRIOCISTORRINOSTOMIA COM OU SEM INTUBACAO - UNILATERAL
30313040,FECHAMENTO DOS PONTOS LACRIMAIS
30313058,RECONSTITUICAO DE VIAS LACRIMAIS COM SILICONE OU OUTRO MATERIAL
30313066,SONDAGEM DAS VIAS LACRIMAIS - COM OU SEM LAVAGEM
30313074,RECONSTITUICAO DE PONTOS LACRIMAIS
30401097,RESSECCAO SUBTOTAL OU TOTAL DE ORELHA
30602114,GINECOMASTIA - UNILATERAL
30710022,FIOS, PINOS, PARAFUSOS OU HASTES METALICAS INTRA-OSSEAS
30710030,PLACAS
30711010,IMOBILIZACOES NAO-GESSADAS (QUALQUER SEGMENTO)
30711037,IMOBILIZACAO DE MEMBRO SUPERIOR
30712068,DUPLA ABDUCAO OU DUCROQUET
30712092,LUVA
30712106,MINERVA OU RISSER PARA ESCOLIOSE
30712149,TORACO-BRAQUIAL
30713064,MANIPULACAO ARTICULAR SOB ANESTESIA GERAL
30713137,PUNCAO ARTICULAR DIAGNOSTICA OU TERAPEUTICA (INFILTRACAO) ORIENTADA OU NAO POR METODO DE IMAGEM
30713145,PUNCAO EXTRA-ARTICULAR DIAGNOSTICA OU TERAPEUTICA (INFILTRACAO/AGULHAMENTO SECO). QUANDO ORIENTADA POR RX, US, TC E RM, COBRAR CODIGO CORRESPONDENTE
30713153,ARTROSCOPIA PARA DIAGNOSTICO COM OU SEM BIOPSIA SINOVIAL
30715180,HERNIA DE DISCO TORACO-LOMBAR - TRATAMENTO CIRURGICO
30721032,ARTRODESE ENTRE OS OSSOS DO CARPO
30721199,FRATURAS E/OU LUXACOES DO PUNHO - TRATAMENTO CIRURGICO
30722055,ALONGAMENTOS TENDINOSOS DE MAO
30722101,APONEVROSE PALMAR (RESSECCAO) - TRATAMENTO CIRURGICO
30722136,ARTROPLASTIA COM IMPLANTE NA MAO (MF OU IF)
30722209,CAPSULECTOMIAS MULTIPLAS MF OU IF
30722276,DEDO EM GATILHO, CAPSULOTOMIA/FASCIOTOMIA - TRATAMENTO CIRURGICO
30722322,FALANGIZACAO
30722403,FRATURAS DE FALANGES OU METACARPIANOS - REDUCAO INCRUENTA
30726042,ARTROTOMIA TRATAMENTO CIRURGICO JOELHO
30726166,LESOES INTRINSECAS DE JOELHO (LESOES CONDRAIS, OSTEOCONDRITE DISSECANTE, PLICA PATOLOGICA, CORPOS LIVRES, ARTROFITOSE.) - TRATAMENTO CIRURGICO
30726220,OSTEOTOMIAS AO NIVEL DO JOELHO - TRATAMENTO CIRURGICO
30727057,BIOPSIA CIRURGICA DE TIBIA OU FIBULA
30728061,ARTRORRISE DO TORNOZELO TRATAMENTO CIRURGICO
30728088,BIOPSIA CIRURGICA DO TORNOZELO
30728150,LESOES LIGAMENTARES CRONICAS AO NIVEL DO TORNOZELO - TRATAMENTO CIRURGICO
30728169,OSTEOCONDRITE DE TORNOZELO - TRATAMENTO CIRURGICO
30728177,PSEUDARTROSES OU OSTEOTOMIAS - TRATAMENTO CIRURGICO
30729106,DEFORMIDADE DOS DEDOS - TRATAMENTO CIRURGICO
30729181,HALLUX VALGUS (UM PE) - TRATAMENTO CIRURGICO
30729190,OSTEOTOMIA OU PSEUDARTROSE DO TARSO E MEDIO PE - TRATAMENTO CIRURGICO
30730031,DESBRIDAMENTO CIRURGICO DE FERIDAS OU EXTREMIDADES
30731038,BURSECTOMIA - TRATAMENTO CIRURGICO
30731046,CISTO SINOVIAL - TRATAMENTO CIRURGICO
30731097,TENOLISE NO TUNEL OSTEO FIBROSO
30731100,TENOLISE/TENDONESE - TRATAMENTO CIRURGICO
30731119,TENOPLASTIA / ENXERTO DE TENDAO - TRATAMENTO CIRURGICO
30731216,TRANSPOSICAO DE MAIS DE 1 TENDAO - TRATAMENTO CIRURGICO
30731224,TRANSPOSICAO UNICA DE TENDAO
30731232,TUMORES DE TENDAO OU SINOVIAL - TRATAMENTO CIRURGICO
30732115,TUMOR OSSEO (RESSECCAO E ENXERTO)
30732131,TUMOR OSSEO (RESSECCAO SIMPLES) OU TRATAMENTO CIRURGICO DE TUMORES E EXOSTOSES
30733014,SINOVECTOMIA TOTAL (PROCEDIMENTO VIDEOARTROSCOPICO DE JOELHO)
30733022,SINOVECTOMIA PARCIAL OU SUBTOTAL (PROCEDIMENTO VIDEOARTROSCOPICO DE JOELHO)
30733030,CONDROPLASTIA COM REMOCAO DE CORPOS LIVRES (PROCEDIMENTO VIDEOARTROSCOPICO DE JOELHO)
30733049,OSTEOCONDROPLASTIA ESTABILIZACAO RESSECCAO E/OU PLASTIA (PROCEDIMENTO VIDEOARTROSCOPICO EM JOELHO)
30733057,MENISCECTOMIA UM MENISCO (PROCEDIMENTO VIDEOARTROSCOPICO EM JOELHO)
30733065,REPARO OU SUTURA DE UM MENISCO (PROCEDIMENTO VIDEOARTROSCOPICO DE JOELHO)
30733073,RECONSTRUCAO RETENCIONAMENTO OU REFORCO DO LIGAMENTO CRUZADO ANTERIOR OU POSTERIOR (PROCEDIMENTO VIDEOARTROSCOPICO DE JOELHO)
30733090,TRATAMENTO CIRURGICO DA ARTROFIBROSE (PROCEDIMENTO VIDEOARTROSCOPICO DE JOELHO)
30733103,INSTABILIDADE FEMORO PATELAR RELEASE LATERAL DA PATELA RETENCIONAMENTO REFORCO OU RECONSTRUCAO DO LIGAMENTO PATELO FEMORAL MEDIAL (PROCEDIMENTO VIDEOARTROSCOPICO DE JOELHO)
30734010,SINOVECTOMIA TOTAL (PROCEDIMENTO VIDEOARTROSCOPICO DE TORNOZELO)
30734045,OSTEOCONDROPLASTIA ESTABILIZACAO RESSECCAO E OU PLASTIA (ENXERTIA) (PROCEDIMENTO VIDEOARTROSCOPICO DE TORNOZELO)
30734061,FRATURAS REDUCAO E ESTABILIZACAO DE CADA SUPERFICIE (PROCEDIMENTO VIDEOARTROSCOPICO DE TORNOZELO)
30736013,SINOVECTOMIA TOTAL (PROCEDIMENTO VIDEOARTROSCOPICO DE COTOVELO)
30736048,OSTEOCONDROPLASTIA ESTABILIZACAO RESSECCAO E OU PLASTIA (ENXERTIA) (PROCEDIMENTO VIDEOARTROSCOPICO DE COTOVELO)
30736064,FRATURAS REDUCAO E ESTABILIZACAO PARA CADA SUPERFICIE (PROCEDIMENTO VIDEOARTROSCOPICO DE COTOVELO)
30737010,SINOVECTOMIA TOTAL (PROCEDIMENTO VIDEOARTROSCOPICO DE PUNHO E TUNEL DO CARPO)
30737028,SINOVECTOMIA PARCIAL OU SUBTOTAL (PROCEDIMENTO VIDEOARTROSCOPICO DE PUNHO E TUNEL DO CARPO)
30737044,OSTEOCONDROPLASTIA ESTABILIZACAO RESSECCAO E/OU PLASTIA (ENXERTIA) (PROCEDIMENTO VIDEOARTROSCOPICO DE PUNHO E TUNEL DO CARPO)
30737052,RECONSTRUCAO RETENCIONAMENTO OU REFORCO DE LIGAMENTO OU REPARO DE CARTILAGEM TRIANGULAR (PROCEDIMENTO VIDEOARTROSCOPICO DE PUNHO E TUNEL DO CARPO)
30737060,FRATURAS REDUCAO E ESTABILIZACAO DE CADA SUPERFICIE (PROCEDIMENTO VIDEOARTROSCOPICO DE PUNHO E TUNEL DO CARPO)
30907071,FULGURACAO DE TELANGIECTASIAS (POR GRUPO DE ATE 5 LESOES)
30907136,VARIZES - TRATAMENTO CIRURGICO DE DOIS MEMBROS
30907144,VARIZES - TRATAMENTO CIRURGICO DE UM MEMBRO
31003567,TUMOR ANORRETAL - RESSECCAO ENDO-ANAL
31004016,ABSCESSO ANORRETAL - DRENAGEM
31004024,ABSCESSO ISQUIO-RETAL - DRENAGEM
31004032,CERCLAGEM ANAL
31004040,CORPO ESTRANHO DO RETO - RETIRADA
31004075,ESFINCTEROPLASTIA ANAL
31004083,ESTENOSE ANAL TRATAMENTO CIRURGICO
31004091,EXCISAO DE PLICOMA
31004105,FISSURECTOMIA COM OU SEM ESFINCTEROTOMIA
31004113,FISTULA RETO-VAGINAL E FISTULA ANAL EM FERRADURA - TRATAMENTO CIRURGICO VIA PERINEAL
31004148,FISTULECTOMIA ANAL EM UM TEMPO
31004156,FISTULECTOMIA ANORRETAL COM ABAIXAMENTO MUCOSO
31004164,FISTULECTOMIA PERINEAL
31004202,HEMORROIDECTOMIA ABERTA OU FECHADA, COM OU SEM ESFINCTEROTOMIA
31004229,LESAO ANAL - ELETROCAUTERIZACAO (POR GRUPO DE ATE 5 LESOES)
31004237,PAPILECTOMIA (UNICA OU MULTIPLA)
31004245,POLIPO RETAL - RESSECCAO ENDOANAL
31004261,PROLAPSO RETAL - TRATAMENTO CIRURGICO
31004318,TROMBOSE HEMORROIDARIA - EXERESE
31004334,ESFINCTEROTOMIA ANUS
31009042,CISTO SACRO-COCCIGEO - TRATAMENTO CIRURGICO
31009093,HERNIORRAFIA EPIGASTRICA
31009166,HERNIORRAFIA UMBILICAL
31103227,CORPO ESTRANHO - EXTRACAO CIRURGICA
31205046,VASECTOMIA UNILATERAL COM DIRETRIZ DE UTILIZACAO ANS
31205070,CIRURGIA ESTERILIZADORA MASCULINA COM DIRETRIZ DE UTILIZACAO ANS
31206220,POSTECTOMIA
31403026,BLOQUEIO DE NERVO PERIFERICO
31403034,DENERVACAO PERCUTANEA DE FACETAS ARTICULARES
31403115,EXCISAO DE TUMORES DOS NERVOS PERIFERICOS
31403131,EXTIRPACAO DE NEUROMA
31403212,MICRONEUROLISE INTRANEURAL OU INTRAFASCICULAR DE DOIS OU MAIS NERVOS
31403220,MICRONEUROLISE MULTIPLAS
31403271,MICRONEURORRAFIA UNICA
31403280,NEUROLISE DAS SINDROMES COMPRESSIVAS
31403360,TRATAMENTO MICROCIRURGICO DAS NEUROPATIAS COMPRESSIVAS (TUMORAL, INFLAMATORIO, ETC)
31602045,BLOQUEIO ANESTESICO DE NERVOS CRANIANOS
31602061,BLOQUEIO ANESTESICO DE SIMPATICO LOMBAR
31602070,BLOQUEIO ANESTESICO SIMPATICO
31602088,BLOQUEIO DE ARTICULACAO TEMPORO-MANDIBULAR
31602096,BLOQUEIO DE GANGLIO ESTRELADO COM ANESTESICO LOCAL
31602118,BLOQUEIO DE NERVO PERIFERICO BLOQUEIOS ANESTESICOS DE N
